fixture_id,expected_styles,selected_styles,leading_style,ranked_styles,abstention,false_positives,false_negatives,official_business_score,official_business_lexical_support,official_business_morphological_support,official_business_syntactic_support,official_business_discourse_support,official_business_punctuation_support,official_business_detected_feature_ids,official_business_evidence_count,scientific_score,scientific_lexical_support,scientific_morphological_support,scientific_syntactic_support,scientific_discourse_support,scientific_punctuation_support,scientific_detected_feature_ids,scientific_evidence_count,publicistic_score,publicistic_lexical_support,publicistic_morphological_support,publicistic_syntactic_support,publicistic_discourse_support,publicistic_punctuation_support,publicistic_detected_feature_ids,publicistic_evidence_count,oratorical_score,oratorical_lexical_support,oratorical_morphological_support,oratorical_syntactic_support,oratorical_discourse_support,oratorical_punctuation_support,oratorical_detected_feature_ids,oratorical_evidence_count,conversational_score,conversational_lexical_support,conversational_morphological_support,conversational_syntactic_support,conversational_discourse_support,conversational_punctuation_support,conversational_detected_feature_ids,conversational_evidence_count
official_order,official_business,official_business,official_business,official_business;scientific;conversational;oratorical;publicistic,False,,,0.266667,0.0,0.666667,0.0,0.666667,0.0,v2.official.cliche;v2.shared.deverbal_nouns;v2.official.reflexive_verbs,5,0.133333,0.0,0.666667,0.0,0.0,0.0,v2.shared.deverbal_nouns,2,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
official_notice,official_business,official_business,official_business,official_business;conversational;publicistic;oratorical;scientific,False,,,0.333333,0.333333,0.333333,0.0,1.0,0.0,v2.official.abbreviation;v2.official.cliche;v2.official.reflexive_verbs,5,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.066667,0.0,0.0,0.0,0.0,0.333333,v2.publicistic.quotation,1,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.066667,0.333333,0.0,0.0,0.0,0.0,v2.conversational.stratified_lexicon,1
official_procedure,official_business,official_business,official_business,official_business;scientific;conversational;oratorical;publicistic,False,,,0.2,0.0,0.666667,0.0,0.0,0.333333,v2.shared.deverbal_nouns;v2.official.reflexive_verbs;v2.official.enumeration,4,0.133333,0.0,0.666667,0.0,0.0,0.0,v2.shared.deverbal_nouns,2,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
official_protocol,official_business,official_business,official_business,official_business;scientific;conversational;oratorical;publicistic,False,,,0.266667,0.0,1.0,0.0,0.0,0.333333,v2.shared.deverbal_nouns;v2.official.enumeration,4,0.2,0.0,1.0,0.0,0.0,0.0,v2.shared.deverbal_nouns,3,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
official_application,official_business,official_business,official_business,official_business;scientific;conversational;oratorical;publicistic,False,,,0.333333,0.333333,1.0,0.0,0.333333,0.0,v2.official.abbreviation;v2.official.cliche;v2.shared.deverbal_nouns;v2.official.reflexive_verbs,7,0.133333,0.0,0.666667,0.0,0.0,0.0,v2.shared.deverbal_nouns,2,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
scientific_definition,scientific,scientific,scientific,scientific;official_business;conversational;oratorical;publicistic,False,,,0.133333,0.0,0.666667,0.0,0.0,0.0,v2.shared.deverbal_nouns;v2.official.reflexive_verbs,4,0.4,0.333333,0.666667,0.666667,0.333333,0.0,v2.shared.deverbal_nouns;v2.scientific.definition;v2.scientific.logical_connectors;v2.scientific.terminology_candidate,6,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
scientific_experiment,scientific,scientific,scientific,scientific;official_business;publicistic;conversational;oratorical,False,,,0.066667,0.0,0.333333,0.0,0.0,0.0,v2.shared.deverbal_nouns,1,0.333333,0.666667,0.0,0.0,0.666667,0.333333,v2.shared.deverbal_nouns;v2.scientific.logical_connectors;v2.scientific.citation;v2.scientific.terminology_candidate,6,0.066667,0.333333,0.0,0.0,0.0,0.0,v2.publicistic.evaluative_lexicon,1,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
scientific_article,scientific,scientific,scientific,scientific;conversational;official_business;oratorical;publicistic,False,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.333333,1.0,0.0,0.0,0.333333,0.333333,v2.scientific.logical_connectors;v2.scientific.citation;v2.scientific.terminology_candidate,5,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.066667,0.333333,0.0,0.0,0.0,0.0,v2.conversational.stratified_lexicon,1
scientific_results,scientific,scientific,scientific,scientific;official_business;publicistic;conversational;oratorical,False,,,0.133333,0.0,0.666667,0.0,0.0,0.0,v2.shared.deverbal_nouns;v2.official.reflexive_verbs,3,0.333333,0.333333,0.666667,0.333333,0.333333,0.0,v2.shared.deverbal_nouns;v2.scientific.definition;v2.scientific.logical_connectors;v2.scientific.terminology_candidate,5,0.066667,0.0,0.0,0.0,0.0,0.333333,v2.publicistic.quotation,1,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
scientific_model,scientific,scientific,scientific,scientific;official_business;conversational;oratorical;publicistic,False,,,0.133333,0.0,0.666667,0.0,0.0,0.0,v2.shared.deverbal_nouns;v2.official.reflexive_verbs,3,0.266667,0.666667,0.0,0.0,0.333333,0.333333,v2.shared.deverbal_nouns;v2.scientific.logical_connectors;v2.scientific.citation;v2.scientific.terminology_candidate,5,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
