fixture_id,theme_id,expected,rank,semantic_score,lexical_score,combined_score,coverage,delta_from_best,ratio_to_best,segment_support_count,segment_count
law_court_hearing,law,1,1,0.617196,1.000000,0.712897,1.000000,0.000000,1.000000,1,1
law_court_hearing,sports,0,2,0.474421,0.333333,0.439149,1.000000,0.273748,0.616006,1,1
law_court_hearing,politics,0,3,0.472153,0.166667,0.395782,1.000000,0.317115,0.555174,1,1
law_court_hearing,science,0,4,0.477041,0.000000,0.357781,1.000000,0.355116,0.501869,1,1
law_court_hearing,religion,0,5,0.404799,0.166667,0.345266,0.000000,0.367631,0.484314,0,1
law_court_hearing,everyday,0,6,0.431212,0.000000,0.323409,1.000000,0.389488,0.453655,1,1
law_court_hearing,medicine,0,7,0.424307,0.000000,0.318230,1.000000,0.394667,0.446390,1,1
law_court_hearing,economics,0,8,0.424225,0.000000,0.318169,1.000000,0.394728,0.446304,1,1
law_court_hearing,it,0,9,0.401507,0.000000,0.301130,0.000000,0.411767,0.422403,0,1
law_court_hearing,military,0,10,0.385794,0.000000,0.289346,0.000000,0.423551,0.405873,0,1
law_criminal_case,law,1,1,0.675573,1.000000,0.756680,1.000000,0.000000,1.000000,1,1
law_criminal_case,science,0,2,0.503398,0.166667,0.419215,1.000000,0.337465,0.554019,1,1
law_criminal_case,politics,0,3,0.474799,0.166667,0.397766,1.000000,0.358914,0.525673,1,1
law_criminal_case,sports,0,4,0.472010,0.000000,0.354007,1.000000,0.402673,0.467842,1,1
law_criminal_case,medicine,0,5,0.470838,0.000000,0.353128,1.000000,0.403552,0.466681,1,1
law_criminal_case,economics,0,6,0.449962,0.000000,0.337471,1.000000,0.419209,0.445989,1,1
law_criminal_case,it,0,7,0.437227,0.000000,0.327920,1.000000,0.428760,0.433367,1,1
law_criminal_case,military,0,8,0.424772,0.000000,0.318579,1.000000,0.438101,0.421022,1,1
law_criminal_case,everyday,0,9,0.422981,0.000000,0.317236,1.000000,0.439444,0.419247,1,1
law_criminal_case,religion,0,10,0.422800,0.000000,0.317100,1.000000,0.439580,0.419068,1,1
law_contract_dispute,law,1,1,0.589687,0.666667,0.608932,1.000000,0.000000,1.000000,1,1
law_contract_dispute,economics,1,2,0.545713,0.333333,0.492618,1.000000,0.116314,0.808987,1,1
law_contract_dispute,everyday,0,3,0.493567,0.166667,0.411842,1.000000,0.197090,0.676335,1,1
law_contract_dispute,religion,0,4,0.423745,0.166667,0.359475,1.000000,0.249457,0.590337,1,1
law_contract_dispute,sports,0,5,0.465114,0.000000,0.348836,1.000000,0.260096,0.572865,1,1
law_contract_dispute,politics,0,6,0.434817,0.000000,0.326113,1.000000,0.282819,0.535549,1,1
law_contract_dispute,medicine,0,7,0.433445,0.000000,0.325084,1.000000,0.283848,0.533859,1,1
law_contract_dispute,science,0,8,0.430842,0.000000,0.323132,1.000000,0.285800,0.530654,1,1
law_contract_dispute,it,0,9,0.429592,0.000000,0.322194,1.000000,0.286738,0.529113,1,1
law_contract_dispute,military,0,10,0.420406,0.000000,0.315304,1.000000,0.293628,0.517798,1,1
law_appeal,law,1,1,0.655877,0.833333,0.700241,1.000000,0.000000,1.000000,1,1
law_appeal,sports,0,2,0.501636,0.166667,0.417894,1.000000,0.282347,0.596786,1,1
law_appeal,science,0,3,0.542005,0.000000,0.406504,1.000000,0.293737,0.580520,1,1
law_appeal,medicine,0,4,0.479949,0.166667,0.401629,1.000000,0.298612,0.573558,1,1
law_appeal,politics,0,5,0.514253,0.000000,0.385690,1.000000,0.314551,0.550796,1,1
law_appeal,military,0,6,0.450068,0.000000,0.337551,1.000000,0.362690,0.482050,1,1
law_appeal,everyday,0,7,0.431303,0.000000,0.323477,1.000000,0.376764,0.461951,1,1
law_appeal,religion,0,8,0.429325,0.000000,0.321994,1.000000,0.378247,0.459833,1,1
law_appeal,it,0,9,0.424060,0.000000,0.318045,1.000000,0.382196,0.454194,1,1
law_appeal,economics,0,10,0.423154,0.000000,0.317365,1.000000,0.382876,0.453223,1,1
medicine_diagnosis,medicine,1,1,0.648615,0.833333,0.694795,1.000000,0.000000,1.000000,1,1
medicine_diagnosis,science,0,2,0.503278,0.000000,0.377459,1.000000,0.317336,0.543267,1,1
medicine_diagnosis,sports,0,3,0.477368,0.000000,0.358026,1.000000,0.336769,0.515297,1,1
medicine_diagnosis,everyday,0,4,0.421210,0.166667,0.357574,1.000000,0.337221,0.514647,1,1
medicine_diagnosis,religion,0,5,0.452880,0.000000,0.339660,1.000000,0.355135,0.488864,1,1
medicine_diagnosis,politics,0,6,0.443820,0.000000,0.332865,1.000000,0.361930,0.479084,1,1
medicine_diagnosis,economics,0,7,0.434832,0.000000,0.326124,1.000000,0.368671,0.469382,1,1
medicine_diagnosis,military,0,8,0.427260,0.000000,0.320445,1.000000,0.374350,0.461208,1,1
medicine_diagnosis,law,0,9,0.422106,0.000000,0.316580,1.000000,0.378215,0.455645,1,1
medicine_diagnosis,it,0,10,0.398906,0.000000,0.299179,0.000000,0.395616,0.430600,0,1
medicine_surgery,medicine,1,1,0.697863,0.666667,0.690064,1.000000,0.000000,1.000000,1,1
medicine_surgery,sports,0,2,0.523971,0.166667,0.434645,1.000000,0.255419,0.629862,1,1
medicine_surgery,science,0,3,0.505725,0.166667,0.420960,1.000000,0.269104,0.610030,1,1
medicine_surgery,military,0,4,0.494735,0.166667,0.412718,1.000000,0.277346,0.598087,1,1
medicine_surgery,everyday,0,5,0.481042,0.166667,0.402448,1.000000,0.287616,0.583204,1,1
medicine_surgery,it,0,6,0.475168,0.166667,0.398043,1.000000,0.292021,0.576820,1,1
